period,source item,cost,source
2019-02,PYTHIA,180,Swisscom
2019-03,GEORE1,0,Azure
2019-02,SISLAB,0,Azure
2019-07,SISLAB,41,Azure
2019-01,SISLAB,0,Azure
2019-03,SISLAB,0,Azure
2019-08,TMA,4,Azure
2019-09,GEORE1,0,Azure
2019-07,SISLAB,0,Azure
2019-07,TMA,586,Group Technology Management
2019-05,INSIGHTSRE,778,Group Technology Management
2019-03,LHTI,170,Group Technology Management
2019-08,INSIGHTSRE,170,Group Technology Management
2019-08,GEORE1,170,Group Technology Management
2019-02,TMA,170,Group Technology Management
2019-09,SISLAB,27,Group Technology Management
2019-08,DOCSEARCH,19322,Utilization
2017-03,OCR,8694,Utilization
2019-03,DSW,3834,Utilization
2019-03,PYTHIA,10,Swisscom
2019-02,INSIGHTSRE,1501,Swisscom
2019-01,SISLAB,4920,Swisscom
2019-09,TMA,26,Swisscom
2019-03,SAMS,18,Swisscom
2019-09,DATAROBOT,170,Group Technology Management
2019-05,PYTHIA,170,Group Technology Management
2019-08,DATAROBOT,1205,Group Technology Management
2019-01,TMA,151,Group Technology Management
2019-05,SAMS,78,Group Technology Management
2019-02,SISLAB,172,Swisscom
2019-03,DSW,7,Swisscom
2019-08,DSW,479,Swisscom
2018-06,DSW,5012,Utilization
2017-07,DNA,2737,Utilization
2017-12,DSW,1671,Utilization
2019-01,PYTHIA,489,Utilization
2019-06,GEORE1,3,Azure
2019-06,GEORE1,4,Azure
2019-04,SISLAB,0,Azure
2019-03,SISLAB,8,Azure
2019-03,TMA,0,Azure
2019-06,SISLAB,28,Azure
2019-04,SISLAB,0,Azure
2019-07,SISLAB,402,Azure
2019-02,GEORE1,0,Azure
2019-08,SISLAB,1,Azure
2019-03,SISLAB,17,Swisscom
2019-04,DSC,1,Swisscom
2019-08,INSIGHTSRE,15,Swisscom
2019-05,DATAROBOT,1,Swisscom
2019-09,DSC,1489,Swisscom
2019-01,DSC,4137,Swisscom
2019-01,DSC,3510,Swisscom
2019-02,PYTHIA,11,Swisscom
2019-04,TMA,21,Swisscom
2019-01,INSIGHTSRE,2124,Swisscom
2019-03,PYTHIA,710,Group Technology Management
2019-06,OCR,170,Group Technology Management
2019-02,TMA,170,Group Technology Management
2019-03,SAMS,170,Group Technology Management
2019-03,DATAROBOT,1681,Group Technology Management
2019-08,INSIGHTSRE,21912,Utilization
2018-06,PYTHIA,1955,Utilization
2018-11,PYTHIA,4177,Utilization
2019-01,SISLAB,0,Azure
2019-02,SISLAB,6,Azure
2019-06,SISLAB,0,Azure
2019-06,PYTHIA,1,Azure
2019-06,GEORE1,1,Azure
2019-06,SISLAB,6,Azure
2019-06,SISLAB,2,Azure
2019-06,TMA,0,Azure
2019-04,SISLAB,0,Azure
2019-07,SISLAB,0,Azure
2019-09,TMA,0,Azure
2019-05,SISLAB,1,Azure
2019-09,SISLAB,0,Azure
2019-05,SISLAB,3,Azure
2019-06,SISLAB,0,Azure
2019-08,SISLAB,14,Azure
2019-02,GEORE1,0,Azure
2019-01,DSW,17625,Utilization
2017-08,DNA,20615,Utilization
2017-06,DSW,3910,Utilization
2019-06,LHTI,170,Group Technology Management
2019-04,WATSONEXP,170,Group Technology Management
2019-01,OCR,170,Group Technology Management
2019-06,INSIGHTSRE,170,Group Technology Management
2019-09,TMA,170,Group Technology Management
2019-08,DOCPROXY,187,Group Technology Management
2019-08,TMA,59,Group Technology Management
2019-04,TMA,917,Group Technology Management
2019-03,DOCSEARCH,550,Group Technology Management
2019-01,SISLAB,12182,Swisscom
2019-07,DSC,67,Swisscom
2019-09,TMA,3457,Swisscom
2019-04,OCR,1051,Swisscom
2019-06,TMA,101,Swisscom
2019-05,INSIGHTSRE,4,Swisscom
2019-05,TMA,0,Swisscom
2019-08,DSW,10568,Swisscom
2019-04,PYTHIA,1141,Swisscom
2019-05,SISLAB,6,Swisscom
2019-01,PYTHIA,818,Swisscom
2019-01,SISLAB,0,Azure
2019-05,SISLAB,2,Azure
2019-04,SISLAB,140,Azure
2019-07,SISLAB,1019,Azure
2019-09,GEORE1,37,Azure
2019-08,PYTHIA,0,Azure
2019-03,SISLAB,0,Azure
2019-03,SISLAB,49,Azure
2019-02,GEORE1,60,Azure
2019-07,DSW,19054,Utilization
2018-04,TMA,6597,Utilization
2018-11,DSW,5032,Utilization
2018-07,TMA,2639,Utilization
2017-03,OCR,409,Utilization
2019-02,PYTHIA,1349,Group Technology Management
2019-06,OCR,170,Group Technology Management
2019-06,SISLAB,170,Group Technology Management
2019-05,DSC,4555,Group Technology Management
2019-07,SAMS,78,Group Technology Management
2019-08,DSW,2628,Swisscom
2019-08,INSIGHTSRE,6740,Swisscom
2019-07,DSC,2253,Swisscom
2019-06,PYTHIA,2,Swisscom
2019-01,PYTHIA,1,Swisscom
2019-06,SISLAB,2143,Swisscom
2019-03,SISLAB,0,Azure
2019-04,GEORE1,0,Azure
2019-05,SISLAB,81,Azure
2019-01,SISLAB,5,Azure
2019-02,SISLAB,1,Azure
2019-07,SISLAB,0,Azure
2019-01,SISLAB,0,Azure
2019-09,SISLAB,28,Azure
2019-04,SISLAB,2,Azure
2017-11,DOCSEARCH,20611,Utilization
2017-11,TMA,1222,Utilization
2019-08,DSC,1877,Group Technology Management
2019-02,WATSONEXP,170,Group Technology Management
2019-05,DATAROBOT,1625,Group Technology Management
2019-04,INSIGHTSRE,45,Group Technology Management
2019-08,OCR,550,Group Technology Management
2019-01,LHTI,55,Group Technology Management
2019-09,TMA,170,Group Technology Management
2019-04,DNA,170,Group Technology Management
2019-02,GEORE1,170,Group Technology Management
2019-01,DNA,622,Group Technology Management
2019-03,SISLAB,170,Group Technology Management
2019-07,SISLAB,170,Group Technology Management
2019-04,SISLAB,9052,Group Technology Management
2019-06,DATAROBOT,1570,Group Technology Management
2019-04,SISLAB,0,Azure
2019-06,GEORE1,0,Azure
2019-06,PYTHIA,0,Azure
2019-06,SISLAB,8,Azure
2019-01,GEORE1,40,Azure
2019-08,SISLAB,47,Azure
2017-11,DSW,8933,Utilization
2017-09,TMA,2933,Utilization
2017-03,TMA,3958,Utilization
2019-01,INSIGHTSRE,3983,Utilization
2019-03,BCHART,32,Swisscom
2019-08,PYTHIA,265,Swisscom
2019-05,DSW,62,Swisscom
2019-01,DATAROBOT,28,Swisscom
2019-04,INSIGHTSRE,17053,Utilization
2018-10,DOCSEARCH,21255,Utilization
2017-05,DNA,0,Utilization
2019-03,INSIGHTSRE,1466,Utilization
2018-05,DOCSEARCH,1022,Utilization
2019-05,PYTHIA,1671,Utilization
2019-03,SISLAB,170,Group Technology Management
2019-01,SISLAB,170,Group Technology Management
2019-04,OCR,550,Group Technology Management
2019-03,DSC,4593,Group Technology Management
2019-04,SISLAB,4557,Group Technology Management
2019-02,GEORE1,0,Azure
2019-05,GEORE1,0,Azure
2019-03,SISLAB,12,Azure
2019-06,GEORE1,2,Azure
2019-04,GEORE1,37,Azure
2019-07,SISLAB,5,Azure
2019-03,GEORE1,1,Azure
2019-08,PYTHIA,5,Azure
2019-06,GEORE1,0,Azure
2019-01,SISLAB,7,Swisscom
2019-08,GEORE1,0,Azure
2019-09,SISLAB,191,Azure
2019-01,GEORE1,6,Azure
2019-02,GEORE1,263,Azure
2019-01,GEORE1,51,Azure
2019-03,SISLAB,40,Azure
2019-07,GEORE1,0,Azure
2019-02,GEORE1,0,Azure
2019-02,GEORE1,0,Azure
2018-05,DOCSEARCH,11915,Utilization
2019-04,TMA,1635,Utilization
2019-03,DSW,0,Utilization
2019-04,DSW,0,Utilization
2019-08,SISLAB,15,Swisscom
2019-02,INSIGHTSRE,147,Swisscom
2019-07,PYTHIA,2,Swisscom
2019-07,DSC,10,Swisscom
2019-08,SAMS,1,Swisscom
2019-08,PYTHIA,32,Swisscom
2019-09,INSIGHTSRE,20,Swisscom
2019-04,DATAROBOT,5,Swisscom
2019-02,DOCSEARCH,1191,Group Technology Management
2019-05,PYTHIA,1127,Group Technology Management
2019-05,DSW,7404,Group Technology Management
2019-03,SISLAB,4560,Group Technology Management
2019-01,GEORE1,0,Azure
2019-06,SISLAB,1,Azure
2019-03,GEORE1,0,Azure
2019-04,SISLAB,58,Azure
2019-06,GEORE1,290,Azure
2019-09,SISLAB,0,Azure
2019-05,OCR,187,Group Technology Management
2019-07,OCR,170,Group Technology Management
2019-03,DOCSEARCH,170,Group Technology Management
2019-04,PYTHIA,1097,Group Technology Management
2019-08,TMA,126,Group Technology Management
2018-06,INSIGHTSRE,1955,Utilization
2017-10,TMA,5277,Utilization
2018-02,DOCSEARCH,817,Utilization
2019-03,OCR,409,Utilization
2019-04,SAMS,41,Utilization
2019-06,DOCPROXY,946,Swisscom
2019-05,DATAROBOT,13,Swisscom
2019-07,DSW,6,Swisscom
2019-05,SAMS,23,Swisscom
2019-08,TMA,22,Swisscom
2019-09,DSW,349,Swisscom
2019-08,INSIGHTSRE,4773,Swisscom
2019-01,INSIGHTSRE,1674,Swisscom
2019-08,DSC,3917,Swisscom
2019-04,SISLAB,5493,Swisscom
2019-05,DSW,81,Swisscom
2019-05,DSW,1083,Swisscom
2017-09,TMA,5277,Utilization
2018-04,INSIGHTSRE,409,Utilization
2017-06,OCR,409,Utilization
2019-06,DNA,213,Group Technology Management
2019-03,DOCSEARCH,170,Group Technology Management
2019-04,DNA,170,Group Technology Management
2019-06,SISLAB,170,Group Technology Management
2019-01,OCR,170,Group Technology Management
2019-09,TMA,1871,Group Technology Management
2019-05,TMA,142,Group Technology Management
2019-06,GEORE1,177,Azure
2019-03,SISLAB,29,Azure
2019-01,SISLAB,0,Azure
2019-01,SISLAB,1,Azure
2019-06,SISLAB,58,Azure
2019-01,SISLAB,47,Azure
2019-02,GEORE1,27,Azure
2017-09,TMA,27212,Utilization
2019-05,DOCSEARCH,12882,Utilization
2018-11,INSIGHTSRE,2933,Utilization
2017-04,DNA,6682,Utilization
2018-12,OCR,2717,Utilization
2019-05,DSW,835,Utilization
2019-04,GEORE1,64,Azure
2019-08,TMA,0,Azure
2019-01,SISLAB,177,Azure
2019-05,SISLAB,1,Azure
2019-07,SISLAB,0,Azure
2019-01,WAEXI,109,Swisscom
2019-05,PYTHIA,84,Swisscom
2019-02,DATAROBOT,1,Swisscom
2019-02,INSIGHTSRE,4,Swisscom
2019-04,SISLAB,6744,Group Technology Management
2019-04,LHTI,170,Group Technology Management
2019-07,VISREPBOXI,0,Group Technology Management
2019-08,TMA,170,Group Technology Management
2019-04,PYTHIA,170,Group Technology Management
2019-07,DNA,170,Group Technology Management
2019-08,SISLAB,9484,Group Technology Management
2019-09,TMA,155,Swisscom
2019-08,DSW,56,Swisscom
2019-02,PYTHIA,740,Swisscom
2019-01,PYTHIA,74,Swisscom
2019-04,INSIGHTSRE,3236,Swisscom
2019-07,PYTHIA,66,Swisscom
2019-04,TMA,1,Swisscom
2019-01,TMA,204,Swisscom
2017-08,TMA,22543,Utilization
2018-04,DSW,11718,Utilization
2019-07,GEORE1,21,Azure
2019-02,GEORE1,22,Azure
2019-04,SISLAB,2,Azure
2019-06,DOCSEARCH,170,Group Technology Management
2019-02,DOCSEARCH,170,Group Technology Management
2019-04,OCR,277,Group Technology Management
2019-06,VISREPBOXI,0,Group Technology Management
2019-04,DSC,4363,Group Technology Management
2019-04,DOCSEARCH,550,Group Technology Management
2019-05,GEORE1,0,Azure
2019-01,SISLAB,0,Azure
2019-01,SISLAB,0,Azure
2019-04,GEORE1,5,Azure
2019-05,GEORE1,1,Azure
2019-05,GEORE1,20,Azure
2019-08,TMA,0,Azure
2019-08,GEORE1,0,Azure
2019-07,SISLAB,170,Group Technology Management
2019-01,WAEXI,170,Group Technology Management
2019-03,BCHART,170,Group Technology Management
2019-07,PYTHIA,170,Group Technology Management
2019-05,SISLAB,18845,Group Technology Management
2017-09,DOCSEARCH,25119,Utilization
2018-04,OCR,13911,Utilization
2019-08,DOCPROXY,1002,Swisscom
2019-03,PYTHIA,39,Swisscom
2019-04,SAMS,15,Swisscom
2019-02,DATAROBOT,589,Swisscom
2019-01,DSW,55,Swisscom
2019-02,TMA,24,Swisscom
2019-06,PYTHIA,190,Swisscom
2019-05,TMA,62154,Utilization
2018-05,DSW,9336,Utilization
2019-07,OCR,5434,Utilization
2018-05,PYTHIA,8353,Utilization
2018-07,INSIGHTSRE,5012,Utilization
2018-12,DOCSEARCH,0,Utilization
2019-02,SISLAB,0,Azure
2019-07,PYTHIA,0,Azure
2019-09,GEORE1,0,Azure
2019-01,SISLAB,19,Azure
2019-04,DSC,1642,Group Technology Management
2019-07,SISLAB,170,Group Technology Management
2019-06,DNA,170,Group Technology Management
2019-09,DOCSEARCH,630,Group Technology Management
2019-05,TMA,59,Group Technology Management
2019-06,SISLAB,4809,Group Technology Management
2019-02,DOCPROXY,872,Swisscom
2019-01,SAMS,11,Swisscom
2019-01,DSW,402,Swisscom
2019-04,PYTHIA,6,Swisscom
2019-07,DATAROBOT,5,Swisscom
2019-07,SISLAB,0,Azure
2019-01,SISLAB,34,Azure
2019-02,GEORE1,270,Azure
2019-04,GEORE1,0,Azure
2019-01,SISLAB,22,Azure
2019-04,GEORE1,19,Azure
2017-10,TMA,6597,Utilization
2017-08,DNA,6682,Utilization
2018-09,DSW,0,Utilization
2018-08,DNA,1771,Utilization
2017-03,DSW,1671,Utilization
2019-02,DATAROBOT,411,Group Technology Management
2019-03,SFILE,24,Group Technology Management
2019-04,SFILE,24,Group Technology Management
2019-06,PYTHIA,188,Group Technology Management
2019-08,WATSONEXP,170,Group Technology Management
2019-01,SAMS,86,Group Technology Management
2019-07,OCR,943,Swisscom
2019-05,DSW,4444,Swisscom
2019-02,DSW,56,Swisscom
2019-07,INSIGHTSRE,35,Swisscom
2019-08,DSW,978,Swisscom
2019-02,DSC,3744,Swisscom
2019-03,DSW,6645,Swisscom
2019-02,SAMS,10,Swisscom
2019-03,INSIGHTSRE,16,Swisscom
2019-03,DATAROBOT,462,Swisscom
2019-08,DSW,19054,Utilization
2018-06,INSIGHTSRE,5012,Utilization
2019-09,TMA,1411,Group Technology Management
2019-06,SAMS,61,Group Technology Management
2019-07,WATSONEXP,170,Group Technology Management
2019-09,OCR,170,Group Technology Management
2019-04,DSW,170,Group Technology Management
2019-09,SFILE,170,Group Technology Management
2019-06,PYTHIA,170,Group Technology Management
2019-01,SISLAB,18492,Group Technology Management
2019-03,DOCSEARCH,630,Group Technology Management
2019-01,GEORE1,2,Azure
2019-02,GEORE1,14,Azure
2019-06,SISLAB,0,Azure
2019-05,GEORE1,41,Azure
2019-07,PYTHIA,21,Azure
2019-05,SISLAB,170,Group Technology Management
2019-04,WATSONEXP,170,Group Technology Management
2019-01,INSIGHTSRE,170,Group Technology Management
2019-07,PYTHIA,13,Group Technology Management
2019-02,DSW,6759,Group Technology Management
2019-05,SISLAB,514,Azure
2019-05,GEORE1,1,Azure
2019-02,GEORE1,0,Azure
2019-02,SISLAB,11,Azure
2019-08,PYTHIA,0,Azure
2019-08,PYTHIA,0,Azure
2019-05,SISLAB,29,Azure
2019-06,SISLAB,377,Azure
2019-05,INSIGHTSRE,14672,Utilization
2018-09,INSIGHTSRE,39468,Utilization
2018-04,PYTHIA,1226,Utilization
2019-09,TMA,2639,Utilization
2019-07,SISLAB,40,Swisscom
2019-05,TMA,164,Swisscom
2019-04,PYTHIA,1349,Group Technology Management
2019-02,DOCSEARCH,12,Group Technology Management
2019-05,INSIGHTSRE,170,Group Technology Management
2019-07,DOCSEARCH,630,Group Technology Management
2019-07,SISLAB,136,Group Digital & Information Services
2019-04,SISLAB,0,Azure
2019-07,SISLAB,7,Azure
2019-01,GEORE1,0,Azure
2019-02,SISLAB,1,Azure
2019-08,SISLAB,0,Azure
2019-03,GEORE1,65,Azure
2019-08,SISLAB,5,Azure
2019-09,TMA,0,Azure
2019-01,SISLAB,0,Azure
2019-08,DSW,1698,Swisscom
2019-05,DSC,59,Swisscom
2019-01,TMA,20,Swisscom
2019-03,PYTHIA,1671,Utilization
2019-09,INSIGHTSRE,1996,Swisscom
2019-01,SAMS,4,Swisscom
2019-08,TMA,16,Swisscom
2019-08,SAMS,11,Swisscom
2019-01,SISLAB,9,Swisscom
2019-01,DATAROBOT,285,Swisscom
2019-01,SISLAB,4,Azure
2019-09,SISLAB,3,Azure
2019-01,GEORE1,0,Azure
2019-02,PYTHIA,18,Azure
2019-07,GEORE1,0,Azure
2019-04,GEORE1,0,Azure
2019-01,OCR,133,Group Technology Management
2019-08,SAMS,61,Group Technology Management
2019-09,LHTI,55,Group Technology Management
2019-09,PYTHIA,710,Group Technology Management
2019-06,DOCSEARCH,170,Group Technology Management
2019-02,INSIGHTSRE,9737,Group Technology Management
2018-06,DOCSEARCH,22382,Utilization
2018-05,OCR,1226,Utilization
2019-03,TMA,2639,Utilization
2017-06,SAMS,644,Utilization
2019-02,TMA,38806,Utilization
2019-07,PYTHIA,4764,Utilization
2018-09,INSIGHTSRE,978,Utilization
2018-09,TMA,2639,Utilization
2018-02,DNA,835,Utilization
2018-08,SAMS,483,Utilization
2019-07,DNA,213,Group Technology Management
2019-01,WATSONEXP,170,Group Technology Management
2019-04,DATAROBOT,8,Swisscom
2019-07,PYTHIA,84,Swisscom
2019-05,DSW,7321,Swisscom
2019-07,DSW,12034,Swisscom
2019-08,SAMS,17,Swisscom
2019-03,PYTHIA,2,Swisscom
2019-02,INSIGHTSRE,1003,Swisscom
2019-04,TMA,197,Swisscom
2019-07,GEORE1,0,Azure
2019-04,GEORE1,0,Azure
2019-01,SISLAB,58,Azure
2019-05,GEORE1,45,Azure
2017-12,DOCSEARCH,15297,Utilization
2018-07,OCR,1226,Utilization
2018-08,TMA,2639,Utilization
2019-03,TMA,1087,Utilization
2018-10,DSW,2157,Utilization
2017-02,SAMS,644,Utilization
2018-01,SAMS,644,Utilization
2019-04,SISLAB,2,Azure
2019-03,GEORE1,0,Azure
2019-01,SISLAB,19,Azure
2019-04,SISLAB,11,Azure
2019-04,GEORE1,107,Azure
2019-02,PYTHIA,156,Azure
2019-05,DNA,213,Group Technology Management
2019-06,INSIGHTSRE,170,Group Technology Management
2019-02,VISREPBOXI,0,Group Technology Management
2019-07,INSIGHTSRE,1138,Swisscom
2019-04,PYTHIA,64,Swisscom
2019-02,DSW,290,Swisscom
2019-06,PYTHIA,710,Group Technology Management
2019-08,DNA,213,Group Technology Management
2019-05,OCR,170,Group Technology Management
2019-07,OCR,170,Group Technology Management
2019-09,TMA,59,Group Technology Management
2019-06,PYTHIA,13,Group Technology Management
2019-03,SAMS,550,Group Technology Management
2018-12,DSW,15338,Utilization
2018-11,DOCSEARCH,20611,Utilization
2017-04,TMA,2861,Utilization
2019-03,PYTHIA,3620,Utilization
2018-04,DSW,0,Utilization
2017-02,OCR,409,Utilization
2019-03,DSW,35,Swisscom
2019-03,PYTHIA,82,Swisscom
2019-03,TMA,0,Swisscom
2019-09,DSC,860,Swisscom
2019-08,DSW,1396,Swisscom
2019-03,SISLAB,9895,Swisscom
2019-07,DSC,4290,Swisscom
2019-03,DATAROBOT,44,Swisscom
2019-05,INSIGHTSRE,8435,Swisscom
2019-06,DATAROBOT,5,Swisscom
2019-09,SISLAB,0,Azure
2019-05,PYTHIA,173,Azure
2019-07,SISLAB,22,Azure
2019-07,GEORE1,68,Azure
2019-09,SISLAB,1,Azure
2019-08,SISLAB,0,Azure
2019-02,GEORE1,26,Azure
2019-08,SISLAB,234,Azure
2019-09,GEORE1,0,Azure
2019-06,SISLAB,0,Azure
2019-07,SISLAB,7507,Group Technology Management
2019-07,DNA,170,Group Technology Management
2019-03,DSC,2468,Swisscom
2019-05,SAMS,11,Swisscom
2019-03,DSC,3513,Swisscom
2019-09,TMA,8,Swisscom
2019-01,DSW,626,Swisscom
2019-09,PYTHIA,63,Swisscom
2018-11,PYTHIA,4859,Utilization
2018-10,SAMS,483,Utilization
2019-04,SAMS,117,Group Technology Management
2019-06,TMA,59,Group Technology Management
2019-03,INSIGHTSRE,170,Group Technology Management
2019-06,DSW,170,Group Technology Management
2019-08,DOCSEARCH,170,Group Technology Management
2019-06,SISLAB,0,Azure
2019-03,GEORE1,10,Azure
2019-08,SISLAB,6,Azure
2019-04,TMA,4,Azure
2019-03,TMA,74,Swisscom
2019-03,DSW,25,Swisscom
2019-08,TMA,1,Swisscom
2019-06,SISLAB,9638,Swisscom
2018-12,INSIGHTSRE,21725,Utilization
2019-03,INSIGHTSRE,2677,Utilization
2019-06,TMA,2639,Utilization
2019-07,LHTI,170,Group Technology Management
2019-08,WATSONEXP,170,Group Technology Management
2019-05,LHTI,170,Group Technology Management
2019-01,SAMS,77,Group Technology Management
2019-05,DSW,170,Group Technology Management
2019-03,TMA,170,Group Technology Management
2019-06,DSC,4388,Group Technology Management
2019-05,DSW,240,Utilization
2019-03,GEORE1,89,Azure
2019-02,SISLAB,0,Azure
2019-02,SISLAB,0,Azure
2019-06,SISLAB,0,Azure
2019-08,GEORE1,0,Azure
2019-09,SISLAB,4,Azure
2019-03,SISLAB,18,Azure
2019-06,TMA,8564,Swisscom
2019-05,INSIGHTSRE,9098,Swisscom
2019-04,INSIGHTSRE,254,Swisscom
2019-09,SAMS,0,Swisscom
2019-03,TMA,204,Swisscom
2019-02,TMA,5,Swisscom
2019-02,DOCPROXY,62,Group Technology Management
2019-05,SAMS,117,Group Technology Management
2019-02,TMA,59,Group Technology Management
2019-07,OCR,187,Group Technology Management
2019-09,DOCSEARCH,170,Group Technology Management
2019-07,SISLAB,710,Group Technology Management
2019-04,GEORE1,170,Group Technology Management
2019-02,SAMS,170,Group Technology Management
2019-07,SAMS,170,Group Technology Management
2019-01,INSIGHTSRE,9867,Group Technology Management
2019-07,GEORE1,0,Azure
2019-07,GEORE1,0,Azure
2019-03,SISLAB,0,Azure
2019-06,SISLAB,17,Azure
2018-12,INSIGHTSRE,2933,Utilization
2019-02,DSW,3525,Utilization
2019-01,TMA,2639,Utilization
2019-01,INSIGHTSRE,1778,Swisscom
2019-02,DSW,1,Swisscom
2019-06,SISLAB,5158,Swisscom
2019-01,PYTHIA,1349,Group Technology Management
2019-04,PYTHIA,170,Group Technology Management
2019-04,SISLAB,170,Group Technology Management
2019-09,LHTI,170,Group Technology Management
2019-05,SISLAB,170,Group Technology Management
2019-02,DSW,170,Group Technology Management
2019-08,GEORE1,170,Group Technology Management
2019-08,SISLAB,21,Azure
2019-07,SISLAB,0,Azure
2019-03,GEORE1,0,Azure
2019-03,SISLAB,0,Azure
2019-02,SISLAB,0,Azure
2019-03,GEORE1,12,Azure
2019-07,SISLAB,0,Azure
2019-09,GEORE1,0,Azure
2018-08,DSW,18197,Utilization
2018-09,PYTHIA,1955,Utilization
2018-11,DOCSEARCH,817,Utilization
2019-01,SISLAB,441,Swisscom
2019-08,DATAROBOT,418,Swisscom
2019-05,PYTHIA,2,Swisscom
2019-03,DATAROBOT,1622,Swisscom
2019-08,TMA,275,Swisscom
